Player,Season,VAC_288,VAC_SO,Bias_288,Bias_SO,Sensitivity_288,Sensitivity_SO
R.A. Dickey,2019,0.2898,0.8683,-0.5524,-0.1779,0.2493,0.8817
Jim Johnson,2016,0.2904,0.4579,-0.6076,-0.3959,0.0957,0.5625
Jim Johnson,2017,0.7091,0.8953,-0.0271,-0.026,0.2809,0.9879
Jim Johnson,2019,0.6982,0.8941,0.0228,-0.0252,0.275,0.9567
Jonathan Papelbon,2019,0.2279,0.2545,0.1849,0.1311,0.1175,0.4701
Eric O'Flaherty,2016,0.4743,0.7555,-0.3635,-0.1551,0.1624,0.864
Eric O'Flaherty,2019,0.4036,0.746,-0.4264,-0.1615,0.1355,0.8531
Blake Treinen,2016,0.3876,0.7185,-0.559,-0.3459,0.1633,0.8094
Blake Treinen,2017,0.5744,0.7187,-0.4414,-0.1261,0.182,0.9696
Blake Treinen,2018,0.6325,0.828,-0.3217,-0.0789,0.2141,1.0084
